user,GENDER,AGE,REGION,MUSIC,0,1,2,3,4,Q_POP,Q_NEW_MUSIC,Q_DANCE,LIST
43402,0,7,North,3,0,0,0,1,0,2,2,1,0
46768,1,5,Midlands,4,0,0,0,0,0,1,2,0,1
21142,0,4,Midlands,4,0,0,0,0,-1,2,2,0,1
8553,0,6,South,3,0,0,1,0,0,2,2,1,1
34999,1,3,North,4,1,1,0,0,0,2,3,1,1
26980,0,4,Midlands,3,0,0,0,0,0,3,1,2,0
2422,0,5,Midlands,3,1,0,1,0,0,2,2,1,1
36339,1,6,Midlands,4,1,0,0,-1,0,3,2,0,0
6534,1,4,Midlands,4,1,0,1,0,0,2,2,0,2
44638,1,4,Midlands,3,0,0,0,1,0,2,2,2,0
46502,0,5,South,4,0,0,0,0,0,2,2,1,2
20328,0,6,Midlands,3,1,0,0,0,0,1,1,0,0
42023,1,6,Midlands,4,0,0,0,1,0,2,2,0,5
37654,0,4,South,3,1,0,0,1,0,3,2,2,1
10639,0,4,North,2,1,0,0,0,0,2,2,3,1
5497,0,5,North,4,1,0,1,0,0,0,1,0,0
38548,1,6,South,1,-1,0,0,0,0,0,0,0,0
38685,1,4,Midlands,4,-1,0,0,0,0,2,2,0,0
34602,0,4,South,3,0,-1,0,0,0,1,1,0,1
13946,1,1,South,2,0,0,0,0,0,2,2,1,1
21046,0,3,North,4,1,0,0,0,0,2,2,2,1
7384,0,2,Midlands,3,0,0,0,0,0,3,2,2,1
43903,1,4,Midlands,2,0,0,0,1,0,2,1,1,1
3794,1,2,South,3,1,0,1,0,0,1,2,1,0
40068,0,4,North,3,1,0,0,0,0,2,1,0,0
33064,1,3,North,3,1,0,0,0,0,2,1,0,1
31893,0,1,North,3,1,1,0,0,0,2,1,1,1
14833,1,6,North,2,0,0,0,0,0,1,0,0,1
26971,1,3,Midlands,0,0,1,0,0,0,2,2,2,1
33904,0,5,South,4,1,1,0,0,0,2,2,0,1
35351,0,5,South,2,1,1,0,0,0,2,1,0,4
28313,0,2,South,3,0,0,0,0,0,3,3,1,1
28085,0,4,North,3,0,0,0,0,0,2,2,1,0
13476,0,5,South,2,1,0,0,0,0,2,2,1,1
34636,0,3,South,2,0,0,0,0,0,2,2,1,2
42796,0,1,North,4,0,0,0,1,0,2,2,2,1
27545,0,2,North,2,0,1,0,0,0,2,1,0,0
7841,1,4,North,0,0,0,1,0,0,2,1,0,1
4203,0,4,North,1,1,0,1,0,0,1,1,0,1
29687,0,6,Midlands,2,0,0,0,0,0,2,1,0,1
30797,1,4,North,3,0,1,0,0,0,0,1,1,1
30956,1,2,South,4,1,0,0,0,0,3,3,3,0
49851,0,4,North,2,0,0,0,1,0,2,1,1,0
8757,0,5,Midlands,3,1,0,1,0,0,2,1,1,2
26156,0,5,South,3,0,1,0,0,0,2,1,0,0
48002,0,4,Midlands,3,0,0,0,0,0,1,2,0,1
43417,1,1,South,4,0,0,0,1,0,1,3,2,3
12670,1,5,North,2,0,0,0,0,0,1,1,1,2
3449,1,4,North,3,-1,0,0,0,0,0,1,0,0
37092,0,4,North,3,1,0,0,1,0,2,1,1,0
9528,1,3,South,2,0,0,1,0,0,0,1,0,1
47101,1,3,Midlands,3,0,0,0,-1,0,0,3,0,1
38277,1,2,Midlands,4,-1,0,0,1,0,1,2,0,0
30296,0,4,North,3,1,1,0,0,0,2,2,1,0
30949,1,1,North,2,1,1,0,0,0,2,1,0,1
8282,1,4,North,3,-1,0,1,0,0,2,1,1,2
31936,0,5,North,4,1,-1,0,0,0,0,0,0,2
10658,1,4,South,3,1,0,0,0,0,1,2,1,0
41163,0,1,Midlands,4,0,0,0,0,0,3,3,0,4
5614,1,6,North,2,0,0,1,0,0,3,1,0,1
26129,0,3,North,2,0,1,0,0,0,2,0,2,1
10924,0,3,Midlands,3,1,0,0,0,0,2,2,1,1
47663,0,1,South,3,0,0,0,1,0,3,2,0,2
1506,0,3,Midlands,3,0,0,0,0,0,3,2,1,1
36884,0,6,Midlands,1,1,0,0,-1,0,1,1,0,1
44268,0,4,North,2,0,0,0,1,0,2,1,0,3
19714,1,3,South,3,1,0,0,0,1,2,2,2,1
23207,0,2,North,4,0,0,0,0,0,2,2,2,4
43296,1,3,North,3,0,0,0,0,0,1,2,0,1
33964,0,2,North,4,0,0,0,0,0,1,1,0,2
25245,1,3,Midlands,0,1,0,0,0,0,0,0,0,0
7687,0,7,Midlands,2,0,0,1,0,0,1,0,0,1
46516,0,3,South,2,0,0,0,0,0,3,0,0,1
9898,1,4,South,3,1,0,-1,0,0,1,1,0,3
15966,0,4,Midlands,2,1,0,0,0,1,2,1,2,0
35991,1,3,Midlands,4,1,1,0,0,0,2,2,2,1
44523,0,3,North,4,0,0,0,0,0,2,2,0,1
47422,0,2,Midlands,4,0,0,0,0,0,2,2,0,2
49945,1,4,Midlands,4,1,0,0,1,0,3,2,0,1
19530,1,1,South,3,1,0,0,0,0,2,2,2,2
40708,1,3,Midlands,3,1,0,0,0,0,3,3,1,1
29207,0,5,South,4,0,0,0,0,0,2,2,0,1
15204,0,6,South,2,1,0,0,0,1,2,1,0,2
49633,1,6,Midlands,4,1,0,0,1,0,2,2,0,0
47094,0,2,South,3,0,0,0,1,0,2,3,2,0
20994,0,2,North,3,1,0,0,0,0,1,1,2,4
50299,1,2,North,4,0,0,0,0,0,0,1,1,3
5774,0,1,South,4,0,0,0,0,0,2,2,2,1
48176,0,5,South,4,0,0,0,1,0,3,2,0,0
32110,1,5,North,3,0,0,0,0,0,0,2,1,0
42645,1,3,North,2,0,0,0,0,0,0,0,0,1
33984,0,5,South,2,1,0,0,0,0,2,1,0,0
36238,1,1,North,2,1,0,0,1,0,2,2,2,1
2225,1,6,South,4,1,0,1,0,0,3,2,1,1
25483,0,6,Midlands,3,0,0,0,0,0,1,1,0,1
24264,0,6,North,3,0,0,0,0,0,2,1,0,2
50446,1,1,South,3,0,0,0,0,0,2,2,2,1
14471,1,3,North,3,1,0,0,0,0,3,1,0,1
7163,0,6,South,3,1,0,1,0,0,2,0,0,2
41763,1,5,North,2,0,0,0,0,0,2,2,2,0
7136,0,3,Midlands,4,0,0,1,0,0,3,2,0,2
22992,1,4,Midlands,4,0,0,0,0,0,1,1,1,1
49281,1,1,South,3,1,0,0,0,0,2,1,1,0
30661,0,3,North,4,0,1,0,0,0,3,1,2,1
24274,1,1,South,4,0,0,0,0,0,2,2,1,2
41164,1,2,North,2,0,0,0,1,0,2,2,2,0
46966,0,4,South,3,0,0,0,0,0,2,1,0,1
36710,1,3,North,3,1,0,0,0,0,2,2,2,0
16168,1,3,Midlands,3,1,0,0,0,1,2,2,1,1
8610,1,4,North,3,0,0,1,0,0,2,1,0,1
46217,1,5,North,4,0,0,0,0,0,0,2,0,1
28672,1,3,South,2,0,0,0,0,0,1,2,1,1
20172,0,2,Midlands,2,1,0,0,0,-1,3,1,1,0
38962,1,1,North,4,-1,0,0,0,0,3,2,2,1
42589,0,3,Midlands,3,0,0,0,1,0,2,1,2,0
22277,1,6,North,2,-1,0,0,0,0,1,0,0,1
47289,1,4,Midlands,2,0,0,0,-1,0,2,0,1,1
1810,1,7,North,3,-1,0,0,0,0,0,0,0,0
43521,0,6,Midlands,1,0,0,0,1,0,1,0,0,1
42767,1,2,North,3,0,0,0,1,0,0,0,0,0
37054,0,3,Northern Ireland,3,-1,0,0,1,0,3,2,1,1
19779,0,5,South,2,1,0,0,0,-1,3,1,0,5
43716,0,4,North,3,0,0,0,0,0,2,1,2,0
39639,0,6,Midlands,3,-1,0,0,0,0,0,0,0,2
11581,1,3,South,2,0,0,0,0,1,2,2,1,2
2977,1,5,Midlands,3,1,0,1,0,0,2,1,2,0
30060,1,6,South,3,0,1,0,0,0,2,3,0,1
46814,1,4,Midlands,3,0,0,0,1,0,2,1,2,0
43220,0,3,Midlands,3,0,0,0,0,0,3,3,2,0
4689,1,2,Northern Ireland,4,0,0,1,0,0,1,3,0,1
1422,0,4,Midlands,3,0,0,0,0,0,0,0,0,1
12071,1,2,Midlands,3,1,0,0,0,1,0,3,0,0
47093,1,3,Midlands,3,0,0,0,-1,0,0,2,2,0
29154,1,4,North,4,0,-1,0,0,0,1,2,1,2
20363,1,3,North,3,1,0,0,0,1,2,1,0,0
41558,0,3,North,3,0,0,0,1,0,2,2,1,5
7027,0,4,Midlands,3,0,0,0,0,0,1,1,0,1
49745,1,2,Midlands,4,0,0,0,0,0,1,1,1,0
43140,0,3,North,2,0,0,0,1,0,3,0,2,0
28441,0,1,North,3,0,0,0,0,0,2,2,0,3
2173,0,1,Midlands,3,0,0,1,0,0,0,2,3,4
44862,0,3,Midlands,4,0,0,0,0,0,2,2,1,1
44402,0,2,Midlands,3,0,0,0,0,0,2,2,2,2
17113,1,3,South,3,0,0,0,0,0,0,1,1,2
45001,0,4,Midlands,3,0,0,0,1,0,3,2,2,1
9694,1,1,North,3,0,0,1,0,0,2,1,0,2
24146,0,3,North,3,0,0,0,0,0,2,1,1,4
32337,0,2,North,4,1,0,0,0,0,3,3,2,3
47189,0,2,North,4,0,0,0,0,0,1,2,0,2
40462,1,1,South,2,0,0,0,0,0,2,1,0,1
18731,1,2,South,4,1,0,0,0,0,2,2,2,1
13754,1,6,South,3,1,0,0,0,0,2,1,1,2
34116,0,4,South,2,0,0,0,0,0,1,2,0,2
38925,1,1,Midlands,4,1,0,0,0,0,3,3,0,1
12083,0,6,South,4,1,0,0,0,0,2,2,1,1
16599,1,4,Midlands,2,1,0,0,0,1,2,0,1,1
41599,0,4,North,2,0,0,0,1,0,2,1,0,0
17008,0,2,South,2,0,0,0,0,0,1,2,2,0
43350,0,4,Midlands,3,0,0,0,1,0,3,2,1,2
10389,1,2,Midlands,4,1,0,0,0,0,2,3,2,1
22130,0,6,South,2,-1,0,0,0,0,2,2,2,0
21860,1,3,Northern Ireland,2,0,0,0,0,0,1,0,3,0
33128,1,8,South,2,0,0,0,0,0,0,0,0,1
50676,1,4,South,3,0,0,0,1,0,2,0,3,3
19047,1,6,North,3,0,0,0,0,0,2,0,0,0
5764,0,7,North,2,0,0,0,0,0,1,1,0,0
5437,0,4,South,4,1,0,1,0,0,3,0,1,1
14671,0,2,South,3,0,0,0,0,0,1,1,2,2
7598,0,4,South,2,0,0,1,0,0,1,0,0,0
14781,0,5,South,3,1,0,0,0,0,1,1,0,1
23961,0,4,Northern Ireland,4,0,0,0,0,0,2,1,1,0
29961,0,5,South,1,0,0,0,0,0,1,1,1,0
27405,0,6,South,2,0,0,0,0,0,2,1,2,1
16039,1,3,North,4,0,0,0,0,0,1,2,0,1
7740,0,1,South,3,1,0,1,0,0,3,2,0,2
17071,0,3,South,3,0,0,0,0,0,2,2,1,1
50509,1,2,South,2,0,0,0,1,0,3,2,2,0
38089,1,3,Midlands,4,1,0,0,-1,0,2,2,1,0
11625,1,4,South,2,1,0,0,0,1,2,1,0,0
26253,0,2,South,3,0,1,0,0,0,1,1,2,1
31968,1,5,South,3,1,0,0,0,0,3,1,0,0
48025,1,2,North,4,-1,0,0,1,0,2,3,0,2
924,0,6,Midlands,3,1,0,0,0,0,2,1,1,2
8246,1,5,North,4,0,0,1,0,0,1,3,0,1
8020,1,5,South,4,1,0,1,0,0,2,2,2,1
25503,0,6,Midlands,3,0,-1,0,0,0,0,1,0,0
8968,0,2,South,4,1,0,-1,0,0,2,2,3,2
41055,0,7,South,3,0,0,0,0,0,2,1,1,2
14749,1,5,North,2,0,0,0,0,0,2,0,1,1
8371,1,4,South,3,0,0,1,0,0,2,2,1,1
7672,1,1,North,3,1,0,1,0,0,2,2,1,1
8706,0,3,North,4,0,0,1,0,0,2,2,1,2
4521,0,4,South,3,1,0,1,0,0,2,2,2,1
31288,0,2,North,2,1,0,0,0,0,2,1,0,0
41570,0,6,Midlands,3,0,0,0,1,0,2,1,0,2
13885,0,7,North,2,0,0,0,0,0,0,0,0,2
10902,0,4,Northern Ireland,3,1,0,0,0,0,3,2,2,1
481,0,5,South,3,1,0,0,0,0,1,0,1,0
18730,1,4,Midlands,3,0,0,0,0,1,2,2,2,0
50832,0,2,Midlands,3,0,0,0,0,0,2,1,1,0
37552,0,4,South,3,0,0,0,-1,0,2,1,0,1
25958,0,3,South,2,0,1,0,0,0,1,2,1,2
43219,1,3,North,4,0,0,0,0,0,3,2,2,1
25646,1,1,South,4,0,1,0,0,0,3,2,2,1
2058,1,1,Midlands,3,1,0,0,0,0,3,2,1,1
5917,1,2,North,3,1,0,1,0,0,2,1,1,2
13720,1,6,South,3,0,0,0,0,1,1,1,0,1
39583,1,2,North,3,1,0,0,0,0,2,2,1,5
30965,1,1,South,2,0,0,0,0,0,2,2,0,0
46651,0,2,South,3,0,0,0,0,0,3,2,2,3
5720,1,7,South,2,0,0,0,0,0,2,0,0,2
36576,1,1,North,4,1,0,0,1,0,0,3,2,1
7364,0,4,Midlands,4,0,0,1,0,0,3,2,1,1
7061,0,4,Midlands,4,1,0,1,0,0,2,2,0,2
20156,1,4,South,3,1,0,0,0,0,2,1,3,0
30882,1,2,North,2,1,1,0,0,0,0,3,0,1
8408,1,5,South,3,0,0,1,0,0,2,2,0,1
17803,1,5,Midlands,3,-1,0,0,0,0,1,1,1,1
742,1,1,South,2,1,0,0,0,0,1,2,1,1
13113,0,1,Midlands,2,-1,0,0,0,0,2,1,1,0
7338,0,4,Midlands,4,1,0,0,0,0,3,2,1,2
12832,1,2,Midlands,2,0,0,0,0,0,2,2,1,2
36883,0,1,South,0,0,0,0,0,0,0,0,0,1
29332,0,5,North,2,0,0,0,0,0,2,1,1,1
47948,0,1,Midlands,4,0,0,0,1,0,1,3,0,1
38934,1,4,Midlands,3,1,0,0,0,0,2,1,0,3
37021,1,3,South,1,1,0,0,1,0,2,2,0,2
22641,1,5,Midlands,4,0,0,0,0,0,3,3,0,1
32694,0,3,North,2,0,0,0,0,0,1,0,0,1
19932,1,5,Midlands,2,1,0,0,0,1,2,1,0,1
42992,1,5,South,3,0,0,0,0,0,2,1,1,1
12789,0,3,Midlands,3,0,0,0,0,0,2,1,0,1
18706,0,6,South,3,1,0,0,0,1,2,1,1,1
33137,0,2,South,3,1,0,0,0,0,3,2,3,2
11924,0,3,South,3,0,0,0,0,0,2,1,1,0
46923,1,4,North,3,0,0,0,1,0,2,2,1,1
7330,0,5,North,2,0,0,1,0,0,1,1,1,0
8546,0,5,North,3,1,0,1,0,0,1,2,0,1
9883,1,5,South,4,0,0,1,0,0,3,2,1,1
16256,0,3,South,4,1,0,0,0,0,2,0,0,1
6587,1,6,Midlands,2,0,0,-1,0,0,0,0,0,0
48662,0,5,Midlands,4,0,0,0,1,0,2,2,2,0
12110,0,3,Midlands,4,0,0,0,0,0,2,2,1,0
18292,1,5,South,4,1,0,0,0,1,2,3,2,3
40353,1,4,North,3,1,0,0,0,0,3,3,2,1
31664,0,4,Midlands,3,0,0,0,0,0,2,1,1,1
40668,0,2,Midlands,4,1,0,0,0,0,3,2,2,4
46070,1,5,North,4,0,0,0,0,0,3,2,0,0
12954,1,1,South,3,1,0,0,0,1,2,2,2,1
15378,0,2,South,2,0,0,0,0,1,2,1,0,1
19665,0,2,North,4,1,0,0,0,1,3,3,3,2
44685,1,4,Midlands,4,0,0,0,0,0,2,2,0,0
34780,0,5,South,2,1,0,0,0,0,1,2,1,0
12995,0,1,North,3,1,0,0,0,1,3,1,0,0
20479,0,1,South,3,-1,0,0,0,0,2,1,2,0
35114,0,2,North,4,-1,-1,0,0,0,2,2,0,0
4059,1,1,South,4,1,0,1,0,0,1,2,3,2
11245,0,1,North,4,-1,0,0,0,1,3,2,0,1
32832,0,2,South,2,1,0,0,0,0,2,2,0,1
14462,0,4,South,2,0,0,0,0,1,2,1,0,1
6740,0,4,Midlands,2,0,0,1,0,0,2,0,3,1
7811,0,1,South,4,1,0,1,0,0,1,1,0,1
8192,0,2,North,3,1,0,1,0,0,2,2,0,2
23084,0,1,Northern Ireland,4,0,0,0,0,0,3,3,2,1
38007,1,2,Midlands,4,0,0,0,0,0,2,2,2,1
24396,1,1,North,4,0,0,0,0,0,3,2,1,1
35636,0,3,North,3,1,1,0,0,0,2,1,0,1
16107,1,6,Midlands,1,1,0,0,0,-1,1,0,0,1
40146,0,2,Midlands,3,1,0,0,0,0,3,2,2,1
19186,1,3,Midlands,3,0,0,0,0,0,1,2,1,1
31519,0,4,North,2,0,1,0,0,0,2,1,2,2
42362,0,3,South,4,0,0,0,1,0,3,1,0,1
22426,0,4,South,4,0,0,0,0,0,0,1,0,0
48751,1,5,Midlands,4,0,0,0,1,0,2,3,0,5
30792,1,3,North,3,0,1,0,0,0,2,2,2,1
43326,1,1,Northern Ireland,0,0,0,0,0,0,0,0,0,0
36762,0,6,North,3,1,0,0,1,0,1,2,0,0
20466,1,5,North,2,1,0,0,0,1,2,0,1,2
47835,0,5,North,3,0,0,0,0,0,2,2,1,1
14836,1,5,North,2,0,0,0,0,0,2,1,1,0
5503,1,4,South,4,1,0,0,0,0,3,2,1,0
26257,0,3,North,3,0,1,0,0,0,3,2,3,1
5577,1,3,South,4,1,0,1,0,0,2,2,2,0
49999,0,4,North,3,1,0,0,1,0,2,2,2,1
45627,1,1,Midlands,3,0,0,0,1,0,2,1,0,1
40535,0,5,Midlands,3,-1,0,0,0,0,1,2,1,0
49094,1,2,Midlands,2,-1,0,0,1,0,0,1,0,1
33690,0,2,Midlands,4,-1,-1,0,0,0,1,2,1,1
27283,0,6,South,2,0,1,0,0,0,2,0,0,2
44391,1,2,South,2,0,0,0,0,0,1,0,1,0
9102,1,5,South,0,-1,0,1,0,0,0,0,0,0
42077,0,3,North,2,0,0,0,1,0,1,0,0,0
46682,0,6,North,2,0,0,0,0,0,0,0,0,2
47766,1,5,South,3,1,0,0,1,0,1,1,1,1
7236,1,3,North,4,0,0,1,0,0,2,3,2,2
17691,1,2,South,4,0,0,0,0,0,2,2,2,2
7439,0,6,South,2,0,0,1,0,0,0,0,0,2
38273,1,3,Midlands,2,0,0,0,1,0,1,1,1,0
30520,1,2,Midlands,4,0,-1,0,0,0,1,2,0,1
28310,1,5,North,4,-1,0,0,0,0,2,2,1,1
46709,1,3,North,3,0,0,0,1,0,2,2,0,0
19109,1,3,Midlands,2,1,0,0,0,0,2,0,0,0
18235,0,3,South,2,0,0,0,0,0,3,0,0,0
11203,1,1,North,4,0,0,0,0,0,3,2,2,0
8464,1,4,North,1,0,0,1,0,0,0,0,0,0
24015,1,4,South,2,0,0,0,0,0,2,1,1,2
33882,0,2,Midlands,3,1,1,0,0,0,3,1,1,0
12016,1,5,South,2,0,0,0,0,0,1,0,0,1
50553,0,5,Midlands,3,0,0,0,1,0,1,0,0,1
49223,0,6,North,3,1,0,0,-1,0,3,2,0,0
525,0,5,Midlands,4,-1,0,0,0,0,2,3,0,1
13772,1,6,South,3,1,0,0,0,1,1,1,0,3
14024,1,1,South,4,0,0,0,0,1,3,2,0,1
44272,0,4,Midlands,0,0,0,0,1,0,1,2,1,1
21484,1,5,South,3,0,0,0,0,0,2,1,1,0
3186,0,3,North,4,0,0,0,0,0,3,3,0,1
41213,1,5,South,1,0,0,0,1,0,0,0,0,1
12543,1,3,Midlands,3,1,0,0,0,1,2,2,1,2
1509,0,4,Midlands,3,0,0,0,0,0,2,2,1,0
1875,0,6,Midlands,2,1,0,1,0,0,2,1,1,1
22501,1,5,North,0,0,0,0,0,0,2,0,0,0
1952,1,1,Midlands,2,1,0,-1,0,0,1,1,1,0
8185,1,4,South,2,1,0,1,0,0,2,1,0,1
20018,0,5,North,3,1,0,0,0,0,1,1,0,1
23708,1,4,North,1,0,0,0,0,0,2,0,2,0
29939,1,1,South,4,0,0,0,0,0,0,2,2,3
33829,0,5,South,2,1,0,0,0,0,1,1,0,0
32300,0,2,Midlands,1,1,0,0,0,0,2,2,2,1
45807,1,1,South,2,0,0,0,1,0,2,0,0,1
44378,1,5,South,1,0,0,0,1,0,2,2,0,0
22728,0,4,North,2,0,0,0,0,0,2,1,0,1
25772,1,6,South,1,0,-1,0,0,0,2,0,0,0
39710,0,3,Midlands,2,0,0,0,0,0,2,2,2,0
45795,0,1,South,4,0,0,0,1,0,2,2,1,2
659,0,1,Midlands,4,1,0,0,0,0,2,3,1,1
19001,1,4,North,3,1,0,0,0,1,2,2,0,1
7865,1,4,South,4,0,0,1,0,0,0,2,1,2
6495,1,6,South,1,1,0,1,0,0,1,1,0,1
22716,1,4,South,3,1,0,0,0,0,3,1,0,1
33519,0,6,South,2,0,-1,0,0,0,2,2,2,2
17881,0,5,South,1,-1,0,0,0,0,1,0,0,1
1081,0,4,South,3,1,0,0,0,0,3,2,1,0
34470,1,5,North,2,1,-1,0,0,0,2,1,1,0
9838,1,4,South,3,0,0,-1,0,0,2,2,0,0
45448,1,3,Midlands,3,0,0,0,1,0,1,2,2,3
39367,0,4,South,3,1,0,0,0,0,0,1,1,6
31448,1,2,Midlands,4,0,1,0,0,0,3,3,1,1
25899,0,1,South,3,0,0,0,0,0,2,2,1,1
10694,1,3,North,4,1,0,0,0,0,2,3,2,2
9649,0,4,North,1,1,0,0,0,0,2,2,2,1
747,0,3,North,4,1,0,0,0,0,1,3,0,2
5009,1,4,North,2,0,0,-1,0,0,2,0,0,0
18132,0,5,North,4,0,0,0,0,0,3,1,0,0
45522,0,4,North,3,0,0,0,0,0,2,1,0,2
47347,1,1,South,4,1,0,0,1,0,3,2,1,2
20316,1,3,North,4,1,0,0,0,-1,3,3,3,0
18406,0,4,Northern Ireland,3,0,0,0,0,1,3,2,0,1
41921,0,5,North,4,0,0,0,1,0,2,2,1,5
44888,1,4,South,4,0,0,0,0,0,2,3,2,2
468,0,6,North,3,0,0,0,0,0,3,1,0,0
20347,0,3,North,4,1,0,0,0,1,3,2,3,0
35058,1,3,North,2,-1,1,0,0,0,2,1,0,0
12973,0,2,North,3,-1,0,0,0,0,2,1,2,0
44245,0,3,South,4,0,0,0,0,0,2,2,2,1
38778,0,2,North,4,-1,0,0,0,0,3,3,1,1
45112,0,2,South,3,0,0,0,1,0,1,2,2,1
18215,0,5,South,3,1,0,0,0,0,2,2,2,0
46196,1,5,North,1,0,0,0,-1,0,0,0,1,1
410,0,3,South,3,1,0,0,0,0,2,2,0,2
16836,0,2,South,3,0,0,0,0,0,2,3,1,1
32934,0,3,Northern Ireland,3,1,0,0,0,0,2,2,0,0
7065,0,2,Midlands,4,1,0,1,0,0,2,2,2,1
33062,1,4,Midlands,3,1,0,0,0,0,2,2,2,1
32297,1,4,North,4,0,0,0,0,0,2,2,0,2
36149,0,2,South,4,-1,0,0,1,0,3,3,3,1
13303,0,4,South,1,1,0,0,0,1,2,1,1,0
8387,1,4,North,3,0,0,1,0,0,2,2,0,0
20453,1,6,North,2,1,0,0,0,-1,2,0,0,3
15359,1,2,South,3,1,0,0,0,1,1,2,1,1
18156,1,2,Midlands,2,1,0,0,0,1,1,1,0,1
3263,0,3,North,4,-1,0,0,0,0,1,1,0,3
6528,0,3,South,4,1,0,1,0,0,2,2,1,0
44141,0,3,South,2,0,0,0,1,0,2,1,0,0
24291,0,2,Midlands,4,0,0,0,0,0,2,3,1,1
49382,0,2,North,4,1,0,0,1,0,2,2,2,1
47662,1,1,South,4,0,0,0,1,0,2,2,1,4
50540,0,2,North,4,0,0,0,0,0,2,1,0,1
31917,1,5,South,2,1,0,0,0,0,2,0,0,0
9617,0,2,North,3,1,0,1,0,0,2,2,1,0
20576,1,1,South,2,1,0,0,0,0,2,2,1,0
630,1,3,North,3,1,0,0,0,0,2,2,1,1
4034,1,2,South,2,1,0,1,0,0,2,2,1,0
4648,1,3,Midlands,4,0,0,0,0,0,2,2,0,1
42944,0,1,North,3,0,0,0,0,0,3,2,3,4
39665,1,3,North,4,-1,0,0,0,0,3,3,1,1
13258,1,5,North,2,-1,0,0,0,0,2,1,1,2
18825,1,3,South,3,1,0,0,0,1,2,1,1,0
14723,1,5,South,4,0,0,0,0,0,2,3,1,2
25554,1,6,North,4,0,0,0,0,0,2,2,0,4
1318,1,5,Midlands,2,0,0,0,0,0,2,1,0,2
43260,0,3,Midlands,4,0,0,0,0,0,3,1,1,5
12362,0,3,North,2,0,0,0,0,1,2,1,1,0
704,0,1,Midlands,3,0,0,0,0,0,3,2,2,1
17560,0,2,Midlands,3,1,0,0,0,0,1,2,0,0
38168,1,3,North,4,1,0,0,1,0,2,3,3,0
21800,0,6,North,1,0,0,0,0,0,2,1,2,1
28564,0,4,South,2,1,1,0,0,0,3,1,0,0
50657,0,2,North,2,0,0,0,1,0,3,0,1,1
